fecha,lat,lon,evento
12/25/2018 22:31:00,-33.179288,-68.624185,Rayos y/o truenos
12/26/2018 9:49:00,-38.941214,-68.185441,Lluvias intensas
12/25/2018 20:45:00,-32.899999,-68.758755,Granizo
12/25/2018 23:41:00,-32.88333,-68.893539,Lluvias intensas
12/25/2018 20:47:00,-32.9121388,-68.8763206,Lluvias intensas
12/25/2018 22:53:00,-32.883258,-68.893539,Granizo
12/25/2018 22:45:00,-32.865052,-68.87237,Granizo
12/25/2018 22:09:00,-33.000095,-68.93701,Granizo
12/25/2018 20:30:00,-33.2995097,-68.0511007,Lluvias intensas
12/25/2018 20:30:00,-32.95132,-69.218615,Lluvias intensas
12/25/2018 20:52:00,-33.183963,-68.497442,Granizo
12/25/2018 21:00:00,-32.980907,-68.885656,Granizo
12/25/2018 23:42:00,-33.145773,-68.490008,Lluvias intensas
12/25/2018 23:42:00,-33.07195,-68.546706,Lluvias intensas
12/25/2018 23:42:00,-33.153656,-68.359363,Rayos y/o truenos
12/25/2018 23:50:00,-32.941602,-68.839066,Rayos y/o truenos
12/25/2018 23:00:00,-32.88333,-68.893539,Lluvias intensas
12/26/2018 16:43:00,-36.216872,-65.451079,Lluvias intensas
12/27/2018 14:30:00,-31.72903,-65.019997,Lluvias intensas
12/27/2018 10:00:00,-32.370738,-61.369321,Lluvias intensas
12/27/2018 19:29:00,-31.029554,-64.527612,Granizo
12/28/2018 12:12:00,-31.734526,-64.896597,Lluvias intensas
12/27/2018 22:20:00,-31.069653,-64.517377,Granizo
12/27/2018 11:00:00,-32.297206,-61.41736,Lluvias intensas
12/27/2018 9:41:00,-32.698818,-63.724201,Lluvias intensas
12/27/2018 8:32:00,-31.467356,-64.261108,Lluvias intensas
12/26/2018 22:54:00,-36.619367,-64.371276,Lluvias intensas
12/26/2018 22:37:00,-36.508155,-63.883087,Rayos y/o truenos
12/27/2018 15:00:00,-31.666742,-65.022997,Lluvias intensas
12/27/2018 15:00:00,-31.318681,-65.097614,Lluvias intensas
12/27/2018 15:00:00,-31.897883,-64.781603,Lluvias intensas
12/27/2018 20:58:00,-29.169668,-67.450296,Granizo
12/27/2018 20:52:00,-29.525653,-68.57231,Granizo
12/26/2018 17:00:00,-36.216872,-65.451079,Granizo
12/27/2018 17:59:00,-31.029554,-64.527612,Ráfagas y/o vientos intensos
12/26/2018 23:13:00,,,Granizo
